task,report,period,business_date,group,metric,value,numeric_value,source_path,source_row,source_col
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_KOL,消耗,12000,12000,sample://channel,2,6
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_KOL,例子数,240,240,sample://channel,2,7
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_KOL,约课数,96,96,sample://channel,2,8
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_KOL,CPM,8.2,8.2,sample://channel,2,9
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_KOL,CTR,0.021,0.021,sample://channel,2,10
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_KOL,CVR,0.064,0.064,sample://channel,2,11
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_STANDARD,消耗,18000,18000,sample://channel,3,6
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_STANDARD,例子数,420,420,sample://channel,3,7
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_STANDARD,约课数,126,126,sample://channel,3,8
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_STANDARD,CPM,7.6,7.6,sample://channel,3,9
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_STANDARD,CTR,0.025,0.025,sample://channel,3,10
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_A_STANDARD,CVR,0.071,0.071,sample://channel,3,11
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_A_KOL,消耗,5400,5400,sample://channel,4,6
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_A_KOL,例子数,108,108,sample://channel,4,7
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_A_KOL,约课数,42,42,sample://channel,4,8
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_A_STANDARD,消耗,8100,8100,sample://channel,5,6
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_A_STANDARD,例子数,190,190,sample://channel,5,7
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_A_STANDARD,约课数,56,56,sample://channel,5,8
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_B_STANDARD,消耗,9600,9600,sample://channel,6,6
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_B_STANDARD,例子数,168,168,sample://channel,6,7
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_B_STANDARD,约课数,55,55,sample://channel,6,8
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_B_STANDARD,消耗,4400,4400,sample://channel,7,6
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_B_STANDARD,例子数,76,76,sample://channel,7,7
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_B_STANDARD,约课数,23,23,sample://channel,7,8
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_C_STANDARD,消耗,7200,7200,sample://channel,8,6
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_C_STANDARD,例子数,132,132,sample://channel,8,7
sample_channel,FB Channel Daily Monitor,month_to_date,total,FB_REGION_C_STANDARD,约课数,40,40,sample://channel,8,8
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_C_STANDARD,消耗,3300,3300,sample://channel,9,6
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_C_STANDARD,例子数,60,60,sample://channel,9,7
sample_channel,FB Channel Daily Monitor,previous_week,total,FB_REGION_C_STANDARD,约课数,18,18,sample://channel,9,8

