task,report,period,business_date,group,metric,value,numeric_value,source_path,source_row,source_col
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_H5,消耗,4200,4200,sample://link,2,6
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_H5,例子数,92,92,sample://link,2,7
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_H5,约课数,28,28,sample://link,2,8
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_H5,CPM,7.8,7.8,sample://link,2,9
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_H5,CTR,0.024,0.024,sample://link,2,10
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_H5,CVR,0.069,0.069,sample://link,2,11
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_MESSAGING,消耗,5100,5100,sample://link,3,6
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_MESSAGING,例子数,114,114,sample://link,3,7
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_MESSAGING,约课数,36,36,sample://link,3,8
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_FORM,消耗,2800,2800,sample://link,4,6
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_FORM,例子数,61,61,sample://link,4,7
sample_link,FB Link Type Daily Monitor,previous_week,total,REGION_A_FORM,约课数,17,17,sample://link,4,8

